"
Date",TSLA,GOOG,MSFT,AMZN,AAPL,SP500
2020/8/31 下午 4:00:00,498.32,1634.18,225.53,3450.96,129.04,349.31
2020/9/1 下午 4:00:00,475.05,1660.71,227.27,3499.12,134.18,352.6
2020/9/2 下午 4:00:00,447.37,1728.28,231.65,3531.45,131.4,357.7
2020/9/3 下午 4:00:00,407,1641.84,217.3,3368,120.88,345.39
2020/9/4 下午 4:00:00,418.32,1591.04,214.25,3294.62,120.96,342.57
2020/9/8 下午 4:00:00,330.21,1532.39,202.66,3149.84,112.82,333.21
2020/9/9 下午 4:00:00,366.28,1556.96,211.29,3268.61,117.32,339.79
2020/9/10 下午 4:00:00,371.34,1532.02,205.37,3175.11,113.49,333.89
2020/9/11 下午 4:00:00,372.72,1520.72,204.03,3116.22,112,334.06
2020/9/14 下午 4:00:00,419.62,1519.28,205.41,3102.97,115.36,338.46
2020/9/15 下午 4:00:00,449.76,1541.44,208.78,3156.13,115.54,340.17
2020/9/16 下午 4:00:00,441.76,1520.9,205.05,3078.1,112.13,338.82
2020/9/17 下午 4:00:00,423.43,1495.53,202.91,3008.73,110.34,335.84
2020/9/18 下午 4:00:00,442.15,1459.99,200.39,2954.91,106.84,330.65
2020/9/21 下午 4:00:00,449.39,1431.16,202.54,2960.47,110.08,326.97
2020/9/22 下午 4:00:00,424.23,1465.46,207.42,3128.99,111.81,330.3
2020/9/23 下午 4:00:00,380.36,1415.21,200.59,2999.86,107.12,322.64
2020/9/24 下午 4:00:00,387.79,1428.29,203.19,3019.79,108.22,323.5
2020/9/25 下午 4:00:00,407.34,1444.96,207.82,3095.13,112.28,328.73
2020/9/28 下午 4:00:00,421.2,1464.52,209.44,3174.05,114.96,334.19
2020/9/29 下午 4:00:00,419.07,1469.33,207.26,3144.88,114.09,332.37
2020/9/30 下午 4:00:00,429.01,1469.6,210.33,3148.73,115.81,334.89
2020/10/1 下午 4:00:00,448.16,1490.09,212.46,3221.26,116.79,337.04
